0.22;723.89;38.66;+43.4
1.22;725.13;38.66;+43.5
2.23;720.97;38.67;+43.4
3.23;716.8;38.68;+43.4
4.23;718.02;38.68;+43.5
5.23;708.43;38.7;+43.4
6.23;720.45;38.68;+43.4
7.23;721.67;38.68;+43.4
8.23;722.89;38.68;+43.4
9.23;724.11;38.68;+43.5
10.23;709.11;38.71;+43.4
11.23;715.71;38.7;+43.4
12.23;711.5;38.71;+43.5
13.23;712.7;38.71;+43.4
14.23;719.3;38.7;+43.5
15.24;698.87;38.74;+43.4
16.24;700.04;38.74;+43.5
17.24;717.44;38.71;+43.4
18.24;697.0;38.75;+43.5
19.24;698.15;38.75;+43.5
20.24;704.72;38.74;+43.5
21.24;711.29;38.73;+43.5
22.24;690.83;38.77;+43.5
23.24;702.78;38.75;+43.6
24.24;693.12;38.77;+43.5
25.24;715.9;38.73;+43.6
26.24;695.45;38.77;+43.5
27.25;696.59;38.77;+43.6
28.24;697.72;38.77;+43.5
29.24;698.86;38.77;+43.5
30.25;694.59;38.78;+43.6
31.25;695.72;38.78;+43.6
32.25;696.85;38.78;+43.6
33.25;692.57;38.79;+43.5
34.25;693.69;38.79;+43.6
35.24;700.22;38.78;+43.6
36.25;706.76;38.77;+43.6
37.25;697.09;38.79;+43.6
38.25;681.98;38.82;+43.6
39.25;688.48;38.81;+43.5
40.25;684.17;38.82;+43.6
41.25;674.45;38.84;+43.6
42.25;686.34;38.82;+43.6
43.25;671.2;38.85;+43.6
44.25;688.49;38.82;+43.6
45.25;678.77;38.84;+43.6
46.25;674.43;38.85;+43.6
47.25;691.72;38.82;+43.6
48.25;676.59;38.85;+43.6
49.25;683.06;38.84;+43.7
50.25;684.13;38.84;+43.7
51.25;674.39;38.86;+43.6
52.24;664.62;38.88;+43.6
53.24;676.48;38.86;+43.7
54.24;677.53;38.86;+43.7
55.24;678.59;38.86;+43.7
56.24;679.64;38.86;+43.7
57.25;680.7;38.86;+43.7
58.25;681.76;38.86;+43.7
59.25;661.18;38.9;+43.7
60.25;673.01;38.88;+43.7
61.25;657.82;38.91;+43.7
62.25;664.24;38.9;+43.7
63.25;659.85;38.91;+43.7
64.25;644.63;38.94;+43.7
65.25;661.84;38.91;+43.7
66.25;646.62;38.94;+43.7
67.25;658.42;38.92;+43.7
68.25;659.42;38.92;+43.7
69.25;649.6;38.94;+43.7
70.25;650.58;38.94;+43.7
71.25;646.16;38.95;+43.7
72.25;647.13;38.95;+43.7
73.25;648.1;38.95;+43.7
74.25;649.07;38.95;+43.7
75.25;655.45;38.94;+43.7
76.25;634.8;38.98;+43.7
77.24;651.97;38.95;+43.8
78.24;652.94;38.95;+43.8
79.24;637.68;38.98;+43.7
80.24;654.85;38.95;+43.7
81.24;639.59;38.98;+43.7
82.24;635.13;38.99;+43.8
83.24;625.24;39.01;+43.8
84.24;626.16;39.01;+43.7
85.23;627.07;39.01;+43.8
86.23;627.99;39.01;+43.8
87.23;623.49;39.02;+43.8
88.23;629.81;39.01;+43.7
89.23;630.72;39.01;+43.7
90.23;631.64;39.01;+43.8
91.23;627.15;39.02;+43.7
92.24;617.25;39.04;+43.7
93.24;628.95;39.02;+43.8
94.24;619.04;39.04;+43.7
95.24;614.52;39.05;+43.8
96.24;615.4;39.05;+43.8
97.24;632.51;39.02;+43.8
98.24;622.6;39.04;+43.8
99.24;612.67;39.06;+43.8
100.24;624.36;39.04;+43.8
101.24;625.24;39.04;+43.8
102.24;615.32;39.06;+43.9
103.24;605.37;39.08;+43.8
104.25;617.04;39.06;+43.8
105.25;607.1;39.08;+43.8
106.26;618.78;39.06;+43.8
107.26;608.83;39.08;+43.9
108.26;609.68;39.08;+43.8
109.26;605.12;39.09;+43.9
110.27;605.97;39.09;+43.8
111.27;601.41;39.1;+43.8
112.27;607.65;39.09;+43.9
113.27;608.49;39.09;+43.9
114.27;625.56;39.06;+43.8
115.27;610.21;39.09;+43.9
116.27;594.82;39.12;+43.9
117.27;595.64;39.12;+44.0
118.27;591.04;39.13;+43.9
119.27;608.08;39.1;+43.9
120.27;592.68;39.13;+43.9
121.27;609.71;39.1;+43.9
122.27;599.73;39.12;+43.9
123.28;584.32;39.15;+43.9
124.28;585.11;39.15;+44.0
125.28;596.71;39.13;+43.9
126.28;597.52;39.13;+43.9
127.28;587.51;39.15;+44.0
128.29;582.89;39.16;+44.0
129.3;583.67;39.16;+43.9
130.3;589.86;39.15;+44.0
131.3;585.24;39.16;+44.0
132.3;586.01;39.16;+44.0
133.3;586.79;39.16;+44.0
134.3;576.75;39.18;+44.0
135.3;572.1;39.19;+44.0
136.3;589.08;39.16;+43.9
137.3;589.86;39.16;+43.9
138.29;569.0;39.2;+44.0
139.29;580.55;39.18;+44.0
140.29;581.31;39.18;+44.0
141.29;576.66;39.19;+44.0
142.29;577.41;39.19;+44.0
143.29;572.75;39.2;+44.0
144.29;578.9;39.19;+44.0
145.29;574.24;39.2;+44.0
146.29;564.16;39.22;+44.0
147.3;575.71;39.2;+44.0
148.29;565.63;39.22;+44.0
149.29;566.35;39.22;+44.0
150.29;550.84;39.25;+44.0
151.29;562.36;39.23;+44.0
152.29;563.07;39.23;+44.0
153.3;563.78;39.23;+44.0
154.3;553.68;39.25;+44.0
155.3;554.37;39.25;+44.0
156.3;549.66;39.26;+44.0
157.29;555.75;39.25;+44.0
158.29;551.04;39.26;+44.0
159.29;546.31;39.27;+44.0
160.29;552.4;39.26;+44.0
161.29;553.08;39.26;+44.0
162.29;553.77;39.26;+44.0
163.29;554.45;39.26;+44.0
164.29;560.55;39.25;+44.1
165.3;550.43;39.27;+44.0
166.3;540.29;39.29;+44.0
167.3;551.76;39.27;+44.0
168.3;541.62;39.29;+44.0
169.3;542.28;39.29;+44.0
170.3;542.93;39.29;+44.1
171.3;543.59;39.29;+44.0
172.31;528.03;39.32;+44.0
173.31;528.66;39.32;+44.0
174.31;545.51;39.29;+44.1
175.31;540.76;39.3;+44.0
176.32;525.18;39.33;+44.1
177.32;531.21;39.32;+44.1
178.32;526.43;39.33;+44.1
179.32;543.28;39.3;+44.1
180.32;533.11;39.32;+44.0
181.31;544.56;39.3;+44.1
182.31;528.98;39.33;+44.0
183.31;535.01;39.32;+44.1
184.31;530.23;39.33;+44.1
